,Letter,Precision,Recall,F1
0,π,0.6047,0.4727,0.5306
1,α,0.9250,0.8880,0.9061
2,β,0.2791,0.8000,0.4138
3,σ,0.3415,0.9333,0.5000
4,γ,0.5882,0.4000,0.4762
5,δ,0.7556,0.6182,0.6800
6,λ,0.2444,0.7333,0.3667
7,ω,1.0000,0.9333,0.9655
8,µ,0.8824,0.3000,0.4478
9,ξ,0.7712,0.7280,0.7490
