,Letter,Precision,Recall,F1
0,π,0.7627,0.8182,0.7895
1,α,0.9237,0.9680,0.9453
2,β,0.7500,0.4000,0.5217
3,σ,0.9091,0.6667,0.7692
4,γ,0.7105,0.5400,0.6136
5,δ,0.7937,0.9091,0.8475
6,λ,1.0000,0.3333,0.5000
7,ω,1.0000,1.0000,1.0000
8,µ,0.7667,0.9200,0.8364
9,ξ,0.8308,0.8640,0.8471
