,Letter,Precision,Recall,F1
0,π,0.7288,0.7818,0.7544
1,α,0.8934,0.8720,0.8826
2,β,0.4583,0.7333,0.5641
3,σ,0.6364,0.4667,0.5385
4,γ,0.5294,0.5400,0.5347
5,δ,0.7288,0.7818,0.7544
6,λ,0.5000,0.4000,0.4444
7,ω,0.9286,0.8667,0.8966
8,µ,0.8302,0.8800,0.8544
9,ξ,0.8522,0.7840,0.8167
