,Letter,Precision,Recall,F1
0,π,0.6753,0.9455,0.7879
1,α,0.9237,0.9680,0.9453
2,β,0.7273,0.5333,0.6154
3,σ,0.8750,0.9333,0.9032
4,γ,0.7714,0.5400,0.6353
5,δ,0.8167,0.8909,0.8522
6,λ,0.8333,0.3333,0.4762
7,ω,1.0000,1.0000,1.0000
8,µ,0.8077,0.8400,0.8235
9,ξ,0.8803,0.8240,0.8512
