,Letter,Precision,Recall,F1
0,π,0.8689,0.9636,0.9138
1,α,0.9760,0.9760,0.9760
2,β,0.8182,0.6000,0.6923
3,σ,0.9333,0.9333,0.9333
4,γ,0.9130,0.8400,0.8750
5,δ,0.8525,0.9455,0.8966
6,λ,1.0000,0.8667,0.9286
7,ω,1.0000,1.0000,1.0000
8,µ,0.9074,0.9800,0.9423
9,ξ,0.9580,0.9120,0.9344
