,Letter,Precision,Recall,F1
0,π,0.8148,0.8000,0.8073
1,α,0.9350,0.9200,0.9274
2,β,0.5000,0.4667,0.4828
3,σ,0.5000,0.6000,0.5455
4,γ,0.5909,0.5200,0.5532
5,δ,0.6885,0.7636,0.7241
6,λ,0.6364,0.4667,0.5385
7,ω,0.8667,0.8667,0.8667
8,µ,0.8269,0.8600,0.8431
9,ξ,0.7969,0.8160,0.8063
